account_name,statement_type
( - ) Ajuste a Valor Presente,BPA
(-) Ajuste a valor presente,BPA
(-) Ajuste a valor presente de recebíveis imobiliários,BPA
(-) Amortização Acumulada,BPA
(-) Amortizações Acumuladas,BPA
(-) Depreciação,BPA
(-) Depreciação Acumulada,BPA
(-) Depreciação acumulada,BPA
(-) Depreciações Acumuladas,BPA
(-) Duplicatas Descontadas,BPA
(-) PECLD,BPA
(-) Perda no valor recuperável - títulos a receber,BPA
(-) Perdas estimadas créd. liquid. duvidosa,BPA
(-) Provisao para Perda,BPA
(-) Provisão p/Crédito de Liq. Duvidosa,BPA
(-) Provisão p/Perdas com Mercadorias,BPA
(-) Provisão para Créditos de Liquidação Duvidosa,BPA
(-) Provisão para Perda Esperada,BPA
(-) Provisão para Perdas,BPA
(-) Provisão para Perdas sobre Créditos,BPA
(-) Provisão para Risco de Crédito,BPA
(-) Provisão para créditos liquidação duvidosa,BPA
(-)AVP,BPA
(-)EPCLD,BPA
(Depreciação Acumulada),BPA
(Provisões para Redução ao Valor Recuperável de Ativos),BPA
A Compensar,BPA
AFRM para liberação,BPA
AFRMM para liberação,BPA
Acervo Tecnico,BPA
Acordo Comerciais,BPA
Acordo de Não Concorrência,BPA
Acordo de não competição,BPA
Adiantameno,BPA
Adiantamento Aquisição Grupo BIG,BPA
Adiantamento Fornecedores,BPA
Adiantamento Fornecedores Nacionais,BPA
Adiantamento Para Futuro Aumento de Capital,BPA
Adiantamento a Fornecedor,BPA
Adiantamento a Fornecedor de Energia,BPA
Adiantamento a Fornecedores,BPA
Adiantamento a Parceiros de Negócios,BPA
Adiantamento a Terceiros,BPA
Adiantamento a fornecedor,BPA
Adiantamento a fornecedor de energia,BPA
Adiantamento a fornecedores,BPA
Adiantamento a fornecedores e outros ativos,BPA
Adiantamento a fornecedores e terceiros,BPA
Adiantamento a funcionários,BPA
Adiantamento a parceiros,BPA
Adiantamento a terceiros,BPA
Adiantamento de Fornecedores,BPA
Adiantamento de Férias,BPA
Adiantamento de Juros sobre Capital Próprio,BPA
Adiantamento de fornecedores,BPA
Adiantamento p/ Novos Negócios,BPA
Adiantamento para Futuro Aumento de Capital,BPA
Adiantamento para aquisições de investimentos,BPA
Adiantamento para cessão de blocos,BPA
Adiantamento para futuro aumento de capital,BPA
Adiantamento para futuro aumento de capital (AFAC),BPA
Adiantamento para futuro investimento em participação societária,BPA
Adiantamento para futuro investimento em participaçãosocietária,BPA
Adiantamento para futuros investimentos,BPA
Adiantamento por aquisições de imóveis,BPA
Adiantamentos,BPA
Adiantamentos Concedidos,BPA
Adiantamentos Diversos,BPA
Adiantamentos a Empregados,BPA
Adiantamentos a Fornecedores,BPA
Adiantamentos a Fornecedores e Outros,BPA
Adiantamentos a Funcionários,BPA
Adiantamentos a Terceiros,BPA
Adiantamentos a fornecedores,BPA
Adiantamentos a parceiros,BPA
Adiantamentos a terceiros,BPA
Adiantamentos ao operador,BPA
Adiantamentos diversos,BPA
Adiantamentos e Antecipações,BPA
Adiantamentos e Outras Contas a Receber,BPA
Adiantamentos e Outros,BPA
Adiantamentos para Futuro Aumento de Capital,BPA
Adiantamentos para aquisição de controladas,BPA
Adiantamentos para aquisição de terrenos,BPA
Adiantamentos para futuro aumento de capital,BPA
Adiantamento a fornecedores,BPA
Adiantamento a fornecedores e outros ativos,BPA
Adiantamento a funcionários,BPA
Adiantamento de aluguéis,BPA
Agio,BPA
Agio na Aquisição de Ações,BPA
Agio pago em aquisições,BPA
Ajuste Correção Monetária,BPA
Ajuste Depreciações Acumuladas - Lei 11.638,BPA
Ajuste a Valor Presente,BPA
Ajuste a valor presente de recebíveis imobiliários em carteira própria,BPA
Ajuste de Estoques - Lei 11.638,BPA
Ajuste de correção monetária,BPA
Alienacao de Bens do Imobilizado,BPA
Alienação de Estoque,BPA
Alienação de Imóveis,BPA
Alienação de Investimentos,BPA
Almoxarifado,BPA
Almoxarifado - pintura e isolamento,BPA
Almoxarifado e Outros,BPA
Aluguéis a Receber,BPA
Amortização Acumulada,BPA
Amortização de Software,BPA
Antecipação de dividendos,BPA
Antecipação de recebivéis,BPA
Aplicação Financeira,BPA
Aplicação Financeira - conta reserva,BPA
Aplicação em depósitos interfinanceiros,BPA
Aplicação financeira,BPA
Aplicação financeira restrita,BPA
Aplicação financeira retida,BPA
Aplicação no Mercado Abero,BPA
Aplicações  financeiras,BPA
Aplicações FInanceiras,BPA
Aplicações Financeiras,BPA
Aplicações Financeiras (Nota 5),BPA
Aplicações Financeiras - Conta Reserva,BPA
Aplicações Financeiras - conta reserva,BPA
Aplicações Financeiras Avaliadas a Valor Justo,BPA
Aplicações Financeiras Avaliadas a Valor Justo através de Outros Resultados Abrangentes,BPA
Aplicações Financeiras Avaliadas a Valor Justo através do Resultado,BPA
Aplicações Financeiras Avaliadas a Valor Justo através do resultado - Ações Usiminas,BPA
Aplicações Financeiras Avaliadas a Valor Justo através doResultado,BPA
Aplicações Financeiras Avaliadas a Valor Justo por meio de Outros Resultados Abrangentes,BPA
Aplicações Financeiras Avaliadas a Valor Justo por meio do Resultado,BPA
Aplicações Financeiras Avaliadas ao Custo Amortizado,BPA
Aplicações Financeiras Resgatáveis acima de 90 dias,BPA
Aplicações Financeiras Vinculadas,BPA
Aplicações Financeiras com Liquidez Imediata,BPA
Aplicações Financeiras de Curto Prazo,BPA
Aplicações Financeiras de Curto Prazo em Moeda Estrangeira,BPA
Aplicações Financeiras de Liquidez Imediata,BPA
Aplicações Financeiras de curto prazo,BPA
Aplicações Financeiras em Garantia,BPA
Aplicações Financeiras no Mercado Aberto e Recursos Vinculados,BPA
Aplicações Financeiras ,BPA
Aplicações Garantidoras de Provisões Técnicas,BPA
Aplicações Livres,BPA
Aplicações Vinculadas em Poupança,BPA
Aplicações Voluntárias no Banco Central do Brasil,BPA
Aplicações caucionadas,BPA
Aplicações de Liquidez,BPA
Aplicações de Liquidez Imediata,BPA
Aplicações em Contas Vinculadas,BPA
Aplicações em Depósitos Interfinanceiros,BPA
Aplicações em Moedas Estrangeiras,BPA
Aplicações em contas vinculadas,BPA
Aplicações em depósitos interfinanceiros,BPA
Aplicações financeiras,BPA
Aplicações financeiras - restritas,BPA
Aplicações financeiras a valor justo por meio de outros resultados abrangentes,BPA
Aplicações financeiras avaliadas ao custo amortizado,BPA
Aplicações financeiras avaliadas ao valor justo por meio do resultado,BPA
Aplicações financeiras de curto prazo,BPA
Aplicações financeiras de liquidez imediata,BPA
Aplicações financeiras de liquidez não imediata,BPA
Aplicações financeiras de longo prazo,BPA
Aplicações financeiras mensuradas ao custo amortizado,BPA
Aplicações financeiras no mercado aberto,BPA
Aplicações financeiras restritas,BPA
